sentence1,sentence2,label
你看我想你了亲爱的,你看我想你了,1
他哥哥有没有遗憾,你有没有遗憾,0
夜晚拍照手机画面其他颜色,手机晚上拍照有眩光,0
请你帮我,请你帮我清清一下垃圾,0
她们的叔叔还有什么经验,你还有什么经验,0
系统升级卡顿,升级系统后卡顿,1
我说你真的那么忙吗,我说你忙,1
OPPO手环关闭夜间模式,OPPO手环设置夜间模式,0
那你听话吗,那你告诉我你听话吗,1
不要扯开话题,不要说些没用的话题,1
我的女儿可爱吗,你是我的女儿你知道吗,0
香蕉和柿子能一起吃吗,柿子不可以和什么一起吃,0
可爱的女孩是什么样呀？,什么样的女孩才算傻的可爱的,0
我说我叫什么名字,你说我的名字到底叫什么啊,1
帮我发个视频给熊大,给我发一段视频,0
我现在不是很开心,今天我很伤心,1
你太强大了真棒,你很强大,1
帮我打开微微信,帮我打开微信给张勇发个红包,0
有没有太阳,你是不是太阳,0
我还记得你,我还记得,0
我是不是你最疼爱的人,你对我最好了,0
晚餐时间是什么时候呢,时间是一,0
那你说什么呢,说得什么好的呢,0
手机有充电提示音吗？,手机充电怎么没有提示音了,0
你比我可爱,我觉得你是最可爱的,0
oppofindx处理器,findx2pro处理器,0
你搞什么,你才搞死了,0
因为想你睡不好觉,能不能不爱了因为爱太痛了,0
什么时候下雨啊,今天下雨了,0
语音助手不发声了,语音助手没有声音,1
你叫什么呀,你叫什么啊你洗澡了吗,0
小说好看吗,小说鬼片,0
我给你改个名字怎么样,你说我给你改个名字怎么样,1
亲爱的,亲爱的亲爱的,1
手表设置闹钟,手环设置闹钟,0
我要玩画画游戏,你玩哪些游戏,0
我想听你唱首歌,唱首歌吧我想听,1
你干嘛去了,喂喂你在干嘛,1
我不会说话,我是不会听话的,0
好看的小说,我觉得小说很好看,0
玩亚索你会吗,你会玩亚索吗,1
你还能干什么,你会点啥,1
没事就是想和你说说话,我们来说说话吧,1
没有上班,难到没上班吗,1
是不是有事发生了,发生了什么事,1
今天要玩的开心啊,今天要开心哟,1
今天穿什么衣服好看,我今天穿什么比较好,0
你在撩我,你为什么要撩我,0
你长啥样啊,你是什么样子的,1
现在多少岁,哪有时间啊,0
这个手机有隐藏功能吗,这个手机有隐藏应用的功能吗,1
你咋那么笨,那么笨呢咋,0
等我回来,等我回来难道不好吗,0
你自己玩吧,你自己玩行吗,1
我看不到你你在哪里呢,你在哪里我怎么没看到你呀,1
大乐透开什么号码,大乐透的开奖结果,1
你能解答什么问题,你说什么问题,0
问你有没有对象,说说你对象吧,0
我不喜欢你,嗯我不喜欢你,1
我也不知道你想说那个你说我有钱,我不懂你在说什么,0
你喜欢我是不是,你是不是喜欢我,1
我打算不要你了,我想要不要你了,1
叫我起床,一分钟以后叫我起床,0
你找个话题吧,你喜欢的话题来一个,1
快告诉我,拜托你就告诉我吧,1
好笑的笑话,别的笑话,0
你的家长是谁,你有爸爸妈妈吗,1
唱歌你会吗,哦你会唱歌吗,1
屏幕一下就不清楚,屏幕看不清了出现很多线框,0
吹死你个老不死的,你老不死了还孩子,0
我想要王俊凯所有资料,我要王俊凯的资料,1
我手机卡2的来电铃声怎么设置呀,a72电信卡怎么设置APn,0
我说我讨厌你,简直讨厌死你了,1
R5的电话,中国移动的电话号码是多少,0
你看见我吗,你现在可以看见我吗,1
原谅你了,怎么可能不原来你,0
你觉得你有用吗,你是不是个有用的人,1
你舍得我吗,你舍得我是吗,1
陪我唠嗑,我想跟你说说话,1
我的qq密码是多少,我的密码是多少,0
安装身份验证密码忘记,忘记验证码,0
你一个月的薪酬是多少,你的电话号码是多少,0
能不能什么上来,能不能说点什么呢,0
是否可以安全的啊,是否安全,1
手机收到微信没声音,手机收到信息没有声音的处理方法,0
我不在吗,我现在不在,0
你知道我多大了吗,那你知道我多少岁吗,1
一点八厘米等于多少毫米,97天是几个月,0
我觉得你好像没有智能,我感觉你不智能,1
坐公交车去逛街,怎么坐公交车去世界之窗,0
我竟然又出来了,我又出来了,0
find5新版变更内容,K7如何快速将5G切换成4G,0
你每天都在干嘛,快告诉我你天天都在干嘛,1
别生气啊,你别生气了,1
你是个笑话,来一个笑话,0
哦我也不知道,不知道我,0
我该像大人还是像小孩,你们姨妈该像大人还是像小孩,0
好吧我被你打败了,讲真的我被你打败了,1
你可以跟我说一声晚安吗,对我说声晚安吧,1
你处对象了吗,你有交往的人了吗,1
你可以让我帮你取一个名字吗,我能给你取一个名字吗,1
普通工作压力大很多,工作压力太大了,1
你记住啥了,你都记住什么了,1
等我多久啦,你被用了多长时间来等我,1
跟你聊天一点意思都没有,不想再跟你聊天了,1
明天会冷吗,今天温度多高,0
你不要亲我,我才不让你亲呢,1
几点啊,几点到几点啊,0
就给我看海底的电影,给我找部电影看一下,0
没有在充电吗,你在充电吗,1
柚子的英语怎么说,香蕉英文怎么说,0
怀孕能吃蒜黄吗,怀孕能吃香米吗,0
现在讲一个好不,那你现在给我讲一个呗,1
你住哪儿,你到哪儿去了,0
杭州有什么好玩的地方,好玩的地方在哪里,0
我好伤心,今天我好伤心呀,1
想干啥就干啥,你猜我在干啥,0
软件集合权限路径打开,如何打开网易云的云浮窗权限,0
微信打开夜间模式,微信铃声,0
你猜猜我喜欢谁,你觉得我喜欢谁,1
祝你生日快乐,也祝你儿童节快乐,0
你这个忙,你很忙吗?,0
给我放一首最好听的歌,放一首社会摇,0
帮我打电话给10086,帮我给女朋友打电话,0
网络密码是多少,信发网络密码是多少？,0
我是瞎说吗这是大实话,我只是瞎说的,0
我想和你接吻,你能和我接吻吗,1
你是不是很聪明,你是不是很聪明呀,1
唱歌我爱你,我要唱歌,0
你又要到哪里去呀,还知道要去哪里,0
你一直想和我聊聊天,我一直想和你聊聊天,0
开什么玩笑,你别开玩笑了行不行,1
黄瓜怎么吃,黄瓜怎么做好吃,1
我不需要,我需要你给我买套房,0
播放一下排列五出奖号码,3D开奖号码,0
我不爱玩,不玩了我生气了,0
k3是否支持指纹解锁,a32指纹解锁在吗,0
进液保的使用方法,如何使用进液保,1
怎么不说话了,在说话不很复杂,0
一四三三二二三是什么英雄,你是英雄,0
您在干嘛,怎么很忙吗,0
打扰我睡觉你真的不想活,打扰我睡觉你要死啊,1
手机能不能无线充电,我的手机能不能无线充电,1
名字的英语,喜欢你用英文怎么说,0
你喜欢听吗,你喜欢听一生有你吗,0
你很棒棒哦,我对你的评价是很棒,1
煲仔饭,黄焖鸡的做法,0
你怎么不睡觉啊,你可不可以去睡觉,1
这个可以用吗,可以用吗,1
螃蟹和柿子能一起吃吗,怀孕能吃芥蓝吗,0
小欧你推出,你让我叫你小欧,0
小兵是不是在线啊,小兵在吗,1
Reno3pro息屏电池耗电快,Reno3Pro亮屏使用耗电快,0
能这样吗,可以这样的吗,1
你眼睛是瞎了,你是不是瞎,0
手机的mac地址在哪里查看,这么说吧，怎么查手机MAC地址,1
那怎么弄呢,怎么弄才是对的,1
你傻不傻,没有傻不傻不,0
你不喜欢我了,你喜欢我吗,0
哦这样记得,你的好我记得了,0
咱们两个谁更让人喜欢啊,是你可爱还是我可爱,1
随便他们的姨妈问什么东西,随便你问什么东西,0
我说王俊凯帅不帅,王俊凯帅不帅,1
播报一下早间新闻,给我播报欢太公司新闻,0
你又睡着了,你怎么又睡着了啊,1
我的心愿单,心愿单,0
有事也不告诉你,我有事不在,0
你的土味情话是被谁教的,你的土味情话是跟谁学的,1
说出来吧,有什么说出来,1
我从哪里来的,我是哪里的人,0
为啥就是不理解我呀,你不理解我,1
打开QQ一下,我要上QQ,1
芙蓉王多少钱一包,你多少钱一个,0
我想有一个姐姐,是想姐姐,0
你叫啥名儿,你就告诉我你的名字吧,1
我要睡觉,再见我要睡觉了,1
请给我放首歌,你给我唱一首歌呗,0
如何把手机西山西面那个声音给关,音量大小开关在哪里,0
男人没一个好东西,悄悄告诉你男人没一个好东西,1
你有什么呢,你都能干什么呀,0
我是不是最美的,你觉得我美吗,0
你会聊什么啊,你能唠什么啊,1
那你就别说了,那你别说,1
打开手机录像,手机把摄像头打开,1
我要你说对不起,对不起我,0
苹果手机好不好,苹果手机什么系统,0
我换一种说法好吗,这什么说法换个说法吗,0
我在等着你,没错我在等着你,1
这台手机是oPop几,这部手机是oppo几,0
为什么要等我找你聊天,等我主动找你聊天就迟了,1
换一个充电提示音,R9充电提示,0
你就是韩寒,你是个韩寒,0
怎么就不记得多大了呢,我多少岁,0
你可以有自己的思维吗,你有自己的思维吗,1
也是你的,其实我也是你的,0
一百减75,R11乘以十五,0
凌晨四点要起床,今天我四点就起床了,0
还能不原谅你啊,原谅你了,1
你为何如此优秀,你怎么这么棒呢,1
其实我的女朋友生气了,我女朋友生气了,1
错了你要提醒我哦,对不对嗯,0
西安限行尾号,今天天津限号,0
你就在这里别了,你怎么还在这里,0
说句晚安,说一句晚安,1
我现在心情有点烦躁我该怎么办,心情莫名烦躁怎么办,0
洗把澡好舒服啊,好了我洗,0
你能帮我做点什么,那你能帮我做什么了,1
Reno是什么意思？,Reno你好吗,0
换个内外屏多少钱,更换外屏多少钱,0
安卓10可以降级,能降级吗,0
为什么要说,为什么要唱歌,0
r17cpu多少钱,R17屏多少钱？,0
你才是最棒的,你就是最棒的,1
在一起不,喜欢你又不能在一起,0
那不是我,你确定那不是我,0
我想哭了,我好想哭呀,1
不为难我的吗,"那好吧,我不为难你了",0
脱掉衣服,脱掉衣服的原因是什么,0
你不要打字,不要打字,1
你可以告诉我你是哪个吗,你好你是哪个,1
男朋友生气怎么哄,女朋友很生气怎么办,0
我不会说英语,干净的用英文怎么说,0
咱们玩脑筋急转弯,小布给我出个脑筋急转弯,1
打开快手主页,我要去快手,0
我的手机是oppo几的。,oppo手机的最新版本是多少,0
你给我讲个搞笑故事,来给我讲个故事,0
oppoa59高配版白色,OPPOA9像素高低,0
屏幕不好使了,手机屏幕不好使,1
那你真聪明,你实在是太聪明,1
520,520加520,0
你那么高兴,感觉你今天心情不错啊,1
你能帮我挣钱吗,你能不能帮我挣钱,1
需要导航吗,你可以导航吗,0
可是我不高兴见到你,我有点不想看见你,1
充电时手机发热,待机时手机发热,0
实在是太想你了啊,太想你了,1
信息无法发送,游戏发送无法信息,0
我喜欢易烊千玺,好喜欢易烊千玺,0
我们永远待在一起,就是我们一起吗,0
QQ扣,打开QQ风声,0
我想爸爸妈妈了,你爸爸妈妈是,0
是这个故事,讲个故事来听一下,0
56除以四,二乘四等于几,0
你不要不理我好不好,你怎么不理我,1
你觉得王俊凯帅吗,小布你说王俊凯帅吗,1
搞对象不,有没有意向谈个恋爱啊,1
就只有你懂我,你很懂我,1
那你会啥,你都能做什么,1
打开声音放个屁,打开听声音放个屁,1
谢谢你的体贴,嗯谢谢关注,0
王俊凯的应援口号是什么,王俊凯的口号是什么,1
你会一直在吗,你能一直在吗,1
给我读新闻,要闻,0
我的夫君有几个,我有几个老公,1
不什么什么什么,不什么什么亮,0
今天要不要早点休息啊,你早点睡吧,1
你闭嘴吧,你闭嘴好不好,1
我不喜欢你了哦,但是我现在不喜欢你了怎么办呢,0
你知道r17吗,OPPOR17,0
我现在该不该睡觉,你说我现在该不该睡觉,1
你是不是骗我,你骗了我是不是,1
我是不是你的小可爱,你是不是小可爱,0
再给我来一首歌,给我来一首悲伤逆流成河,0
有没有人想我,有没有人给我打电话,0
休息得请假,我想请假回去休息,0
今年我三十出头,其实认真的说，我三十多了,1
朕乏了退下吧,我累了可以请你,0
你是不是骗我,你为什么骗我,0
支付宝钱包,帮我找一下支付宝,0
你不要烦我,可以不要打扰到我吗,1
你有巴掌吗,铺满金色巴掌的水泥道,0
我要打架,我确实是想打架,1
你听过我要你这首歌吗,播放一首赵雷的成都,0
电话干嘛,OPPO手机客服电话,0
太阳怎么还没出来,还没出来啊,0
我信你个鬼你个糟老头子坏得很,我才不会相信你你个糟老头子,1
我找不到你呀,我看不见你在哪了,1
我难过了,我痛苦不堪,1
我不想和你说话了,我和你说话你怎么不搭理我呢,0
儿童的睡前故事,小布打开懒人听书,0
你告诉我答案,完美的答案是什么告诉我,1
如果我没有钱怎么弄啊,可是我没有钱怎么办,0
你感觉我的声音好听吗,我声音有被你认为好听吗,1
一百人民币,十美元等于多少人民币,0
给我QQ,帮我点开QQ,0
我要说什么呢,我该说什么,1
你会说话吗,那你会讲,0
我知道刚才,刚才吓死我了,0
听不懂吗,听不懂医生吗,0
你会变音吗,你还有其他声音吗,1
怎么进Opp0家呀,你好怎么加入oppo售后,0
你在玩我吗,你是在开玩笑吗,1
不要不理我,你要搭理我,1
我买了个新手机,再买我就把手机,0
你就是个猪,你是猪吧,1
我肯定想吃你做的饭,你肯定想吃我做的饭,0
为什么黑屏打开音乐没有声音,王者荣耀为什么没有声音,0
就是这样的,爱就是这样,0
这什么情况啊,明天是什么情况啊,0
你觉得我帅气吗,我帅不帅啊,1
王者荣耀谁的难度最高,王者荣耀中谁最强的,0
你是好的人吗,是你一人在,0
语音助手没有声音,语音助手无声,1
要给我小星星吗你,你要给我小星星吗,1
我要找个对象,我要甜甜的恋爱,0
我现在空的很呢,现在我那个,0
玩游戏时手机死机,玩游戏时手机黑屏,0
小欧你长得真丑,小欧很不俊,1
怀孕能吃冻蘑吗,怀孕能吃姜豆吗,0
为什么我截屏是黑的,为什么我录屏是黑色的,0
那聊什么呀,咱们侃侃,0
给你起个名儿,你的名字是我负责给你起的,1
你现在是什么穿着,你穿着什么,1
你刚才说啥了,刚才的通话记录,0
我是说我错过你了,我把你错过了,1
不断的是牵挂,你是牵挂,0
请帮我开锁,你真有趣可惜只是系统,0
你如果没有理解就算了,没理解就算了,1
我没有不想去上班了,我不想去上班了,0
怎么这样了,为什么是这样子,1
请问我叫你什么,我要叫你什么你才会回答我呢,1
讲一下故事,放鬼故事,0
a92s是否防水,A92s防水嘛,1
我读书不多,还有不多了,0
给你开个玩笑呢,你开玩笑呢,0
我的姐究竟是谁,我姐是谁,1
我不讨厌你了,你好讨厌为什么不让我亲亲你,0
我想我想听笑话,换个笑话吧,0
手环充一次电，能使用多久呀,插件多次使用,0
你在做啥呢,你在做的时候,0
你要吃什么,你吃了什么,0
女人的照片,你给我看一下你的照片,0
oppoa79ota,OPPOA79t,0
OPPOReno4SE\\屏幕,Reno4Pro的屏幕,0
我是谁你还知道吗,你知道你自己是谁吗,0
狮子座这个月运势,十一月十六是什么星座,0
你的身高和体重是多少,你身高体重多少,1
我要娶你做老婆,我要做你老公,1
OPPOA5怎么打开录屏,OPPOa5怎么打开内录,0
我难受怎么办,我受伤了怎么办,0
我说你辛苦了,辛苦了我对你说,1
那你可以给我唱首歌吗,你给我唱一首歌呗,1
十一月十六号提醒我,取消明天的提醒,0
我密码忘记了怎么办,妈妈密码是多少,0
我的手机怎么连不到网络,我的手机连不到无线网,0
加油我支持你,加油你一定是最棒的,1
很闲没事干,没事干这个,0
我美不美呀,我为什么这么美,0
你会聊天吗,你会聊什么天,1
将进酒,什么叫将进酒,0
今天分手了,今天和对象分手了,1
这辈子我就是要喜欢你,我喜欢你一辈子,1
那个意思,我的意思是,0
你觉得我身上有什么优点,你觉得我有什么优点,1
我的生日难道你不知道吗,你知道我的生日,1
我哈气连天,我想睡觉喽,1
你觉得这个裤子好看吗,这件裤子穿起来好看么,0
你会累吗,你不会累啊,0
五秒后提醒我,七分钟后喊我,0
N3语音助手唤醒设置,怎么设置语音助手语音唤醒,0
我觉得你不怎么样,你也就是不咋的,1
我不喜欢黄子韬,为什么王俊凯不爱我,0
怎样打开应用锁定,怎么锁定一个应用,0
滚吧别回来了,滚吧死远点,1
很荣幸能被你认识,认识你真高兴,1
那你是我的什么,那你和我的关系是什么,1
你会不会说话,你太会说话了,0
二十的闹钟,二十闹钟闹钟,1
全部图片,刺客伍六七的照片,0
手机可以充电吗,手机可以充电过夜吗？,0
八十块钱,七八十块钱,0
我被你一直在意着,你还在乎我,1
你好你要干什么呢,你好你在干嘛呢,1
你会说普通话么,你能讲普通话吗,0
稍等一会再和你说,等一下再跟你说,1
我爱你神经病,我超级喜欢你这个神经病,1
那有没有好看的电影呢,有没有好看的动漫,0
你爱不爱,我爱你你爱不爱我,0
真的那你出去吧,那就出去吧,1
眼里就是心里,那都那我也就是心里,0
Reno2的快速解锁方式,Reno2智能解锁功能介绍,0
打开懒人听书,小布帮我打开喜马拉雅,0
我只会对你一个人好,我真的好爱你哦,0
你哭一个试试,你说一个试试,0
你什么意思,是什么意思,0
音乐的专辑图不匹配怎么改回来,怎么修改返回键的图标,0
那没办法了,已经是真的没办法了,1
你真调皮,你真不听话,0
解锁卡顿,手机解锁卡顿,1
你会几个国家的语言,你是不是会多国语言的人,1
怎么查公交卡余额,怎么查那个，公交卡余额,1
有一个问题想问你,我可以问你一个问题吗,0
不记得我吗,你还是不太记得吗,0
你是不是觉得自己不美丽,你不好看吗,1
你今天星期几,小布现在几点了呀,0
你老子叫啥,你的爸爸是谁,1
我也不清楚要聊什么,我愿意说还不清楚喽,0
屏幕不好用,屏幕不好使怎么办,0
竟然是我,当然是我呀,0
长得帅吗,是不是长的很英俊,1
干嘛不回答我啊,你真的不回答我吗,0
你会谈话了,你终于会说话了,1
这样说话,你见过鬼吗,0
在哪里啊,嗯嗯你在哪里,1
a52防抖,a52是否支持防抖,0
我想干什么呢,你也不知道我想干什么呢,0
酱香饼的制作,你是用什么制造的,0
你听音乐吗,打开QQ音乐听,0
我积分换的礼品怎么物流没动啊,我积分兑换了礼品怎样看物流信息,0
这首歌能不能,我给你唱一首歌好吗,0
我要听什么呢,你想让我听什么,0
天蝎座的幸运色,天蝎座本月运势,0
小布易烊千玺是我老公记住了吗,我是不是最爱王俊凯,0
郁闷的心情我今天,我心情很郁闷,1
Find5中框和后盖材质,FindX2后盖材质,0
你能不能像女孩子,你不是女孩子吗,0
倒数十五分钟,四个小时后提醒我,0
为什么听不到我说话呢,听到我说话了吗,0
你要记得你是美女,那你是美女吗,0
抗美援朝战争为题材的影片是,苏轼的父亲叫什么,0
FindX2系列的价格,findx2上市价格,1
OPPOReno4SE的耳机接口,Renosse耳机接口,0
你上学了吗,你在不在上学啊,1
你还会讲什么,你究竟会讲什么,1
k1手机,请问这手机是oppoa11吗,0
为什么是大师兄啊你能说给我听吗,你不给我放歌听我能不生气吗,0
你为什么记不住我的名字,你可不可以记住我的名字,1
我告诉你我是谁,我想知道你是谁,0
困的时候,你啥时候睡觉啊,0
帮我打开微信好不好,你有微信么,0
打开微微免费小说,帮忙打开王者荣耀,0
我不爱你啊,我不爱你哦,0
只要你宝贝,只要你乖,0
OPPOfindx2电池,oppofindx2耳,0
我肯定没有女朋友,我没女朋友,1
你再说一遍你的名字,再告诉我一下你的名字,1
我问你一件事情,我问你一件事,1
怎么就不合适了,怎么不合适啊,1
使用你的功能,打开你的功能,1
我现在空的很呢,我现在该,0
我喜欢雪山,我从雪山来,0
骂他一顿,真想骂他一顿,1
不要瞎说了,扯犊子吧你,1
你爸妈呢,你有爸爸妈妈吗,1
"那就好,一起吧",就把他一起,0
我输钱了,我没钱了怎么办,0
你会不会玩五子棋,你会玩五子棋吗,1
你就不能告诉我你名字吗,那你到底叫什么呀,1
泰丰有什么好玩的,有好玩的吗,0
真的好乖巧你,你很可爱吗,0
那你们叔叔想什么呢。,那你想什么呢。,0
你知道华晨宇吗,你知道华晨宇吧,1
告诉我到哪了,那你告诉我到哪了啊,1
我可以将你召唤出来吗,我能把你喊出来吗,1
怀孕能吃东洋萝卜吗,怀孕能吃豌豆吗,0
难道你不知道我的生日吗,你知道我的生日,1
所以说你不要后悔昂,不要后悔,1
对背叛你的人怎么做,你又做什么了,0
请问再说一遍你叫什么名字,好你叫什么名字,0
白色T恤要配什么样的裤子好看,白色鞋子配什么衣服好看,0
你是我的什么人呢,你是我啥人啊你,1
帮我把相机打开然后拍成照片,你给我拍张照片吧,0
你真的没有说的话了吗,你是不是没话说了,1
我希望你是男生,你是男的,0
小欧你冷不冷,小欧你能感觉到冷吗,1
你好自恋,你也太自恋了吧,1
你会点什么,需要点什么,0
请你好好说话。,不懂这个thumbnails是什么，你给我说一说吧,0
你就是个垃圾,你真的很垃圾,1
我可以超过马云吗,我可以变成马云吗,0
那我以后就叫你宝贝了,叫你宝贝吧,1
今天吃了一碗干饭,我今天吃了一碗干饭,1
那你聊啊,那就聊聊你吧,0
手机电池使用寿命为多长时间,换内屏要多长时间,0
好的我输了,好吧我被你打败了,0
你刚刚怎么不理我,那我刚刚叫你你不理我,1
你10点上班吗,明天上班吗,0
我觉得冰淇淋很好吃,番茄炒蛋怎么炒好吃,0
我的弟弟要听生日歌,我要听生日歌,0
你有人类的情感吗,你有没有感情,1
来几句粤语听听,你会听粤语吗,0
你说这些话时真想气死我啊,我被你气死了,1
OPPO服务,oppo服务规定,0
哄哄我睡觉,说点好听的让我就寝,1
老板又在群里发红包啦,在嘟猪队友群里面发一个一百元的红包,0
讲个搞笑的,笑话讲,1
吃完饭就该上班了,该上班了,1
我要收人要,我要这个,0
一起吃个饭吧，我来买单,对呀我想请你吃饭,1
我的另一半你能帮我找到吗,你能帮我找个对象吗,1
我哪天生的,我的生日多少,1
我瞎说你没有想我,你瞎说我没有想你,0
你喜欢吃什么,你喜欢吃什么饭,1
我妈不要我了,我被我妈遗弃了,1
请你消失,请你马上消失,1
难道你没有吃早餐吗,你吃早餐没有啊,0
讲真的你就哄哄我吧,可以哄哄我吗,1
你数学好不好,数学对于你来说很简单吗,1
你给我说一个外国话,你说个外国话,1
快点骂我,你现在就骂我,1
OPPOfind多少钱,oppoReno多少钱,0
我没有问题,我也没有什么问题,1
360除以十八,四分之三加三分之一,0
我要玩急转弯,出一个脑筋急转弯,1
合着你逗我玩呢是不是,你在逗我吗,0
我就是想问,我想问一下,0
你的男朋友究竟是谁啊,你的男朋友是谁,1
说几句阿拉伯语,阿拉伯语,0
没有其他人,你还没到,0
我说你会不会唱歌,你唱歌在什么水平,0
a91处理器,a91的cpu,1
你要不换个别的声音好吗,可以改你的声音吗,1
买拼图花了好多钱,多花钱多七百块钱就多花呗,0
她们妈妈死哪里去了,你死哪里去了,0
encofree怎么连接,EncoFree怎么开机,0
我上班去了,我走了上班去,1
你变成男生可以吗,你能不能变成男生,1
你你们会不会玩bbox,你玩什么,0
打开QQHD,嘿小布打开QQ,0
猜一下我是谁,猜猜我是谁猜一猜呀,1
我开小差了一会再说,我开小差了吧稍后再试试吧,1
我在骂你,我就是骂你了,0
打开猜谜语,开始猜谜语吧,1
那现在我人怎么样你觉得,你觉得我人怎么样,1
那不算什么,能不能别跟有多大事是的,0
水用化学符号是什么,怎么证明自己是个霸道女总裁,0
你不是我老婆,所以说啊我的老婆不是你啊,1
你find5,那find5,0
给爷放个屁,小熊怎么叫,0
怎样可以处理丢失,我消失了怎么办,0
不想听了吗,不想睡觉了是吗,0
是多少啊你的智力,你的智商是多少呀,1
你叫什么我叫李佳琦,你帮我叫刘亦菲,0
我够不够骚,我骚不骚,1
女雷神是谁,女雷神即将上线,0
说个脑筋急转弯,考我一个脑筋急转弯,1
你好不好,howdoyoudo,1
一美元等于多少元,一百泰铢等于多少元,0
是苹果好用还是OPPO好用,OPPO手机的特点是什么,0
睡不着急吗,怎么还不睡,0
你长得帅不帅,我不帅吗,0
睡觉了我睡觉了,好的睡觉吧,0
A33耳机接口介绍,a32耳机接口,0
我想找你聊天,下班我可以找你聊聊天吗,1
那你是啥星座,二月初七是什么星座,0
我们都想让你找个对象,你想找对象吗,0
我求求你不要喜欢我,我不喜欢你喜欢我,1
想听你说绕口令,你给我说一段绕口令,1
那我试一试吧,三号再试,0
我在吃饭呢此刻,我正在吃饭,1
我已经长大了,我已经长大了难道看不出来吗,1
我要对你生气,我要生你的气啦,1
手机系统慢，怎么处理,手机开机很慢怎么办？,0
我在和你聊天,我聊天呀和你在,1
不知道以后再告诉你,我就不告诉你,0
手表可以链接蓝牙耳机吗,可以帮我连接蓝牙耳机吗,0
find7手机自带的输入法能更改皮肤吗,自带的输入法能否更换皮肤,0
我在找或职业找一下或职业,我在找工作,0
不能原谅你,我理解你但也不会原谅了,1
猜个谜语吧,出个谜语,1
你的父亲,父亲写的散文诗,0
你们俩算不算好朋友,我们俩算不算好朋友,0
你给我滚开你能干什么啊,你滚蛋你能干啥,1
你为什么不是小哥哥,你咋不是个男孩子呢,1
为什么你有时候不理我,你有时候不离我是什么原因,1
我说四川话你听得懂吗,我想讲四川话怕你听不懂,0
你总是说错话,应该说错话了,0
怎么嫁给秦霄贤,怎么才能嫁给秦霄贤,1
秘密保险箱重新哪里打开,如何把私密保险箱移到桌面上,0
哪里发货,发货到哪里？,0
手机里边有没有音乐,你是手机里边的,0
老梁故事汇,我国古代四大民间故事,0
你缺男朋友吗,你没有拥有男朋友是吗,1
你是小猪还是不是小猪,你是猪猪吗,1
给我放一首逗我不斗他,能给我放个搞笑的片子不,0
私密私密照片,私密照片,1
卖出去的r15梦境版有多少,R11多少钱,0
高考完有什么电影推荐,高考完看什么电影,1
你的手机损伤了,你手机坏了,1
怀孕能吃墨鱼吗,怀孕能吃雪耳吗,0
我想骂人了我告诉你,我想骂人了,1
1等于多少,二十四小时等于多少分钟,0
全景怎么样才拍的好看,如何拍好iPhone全景,0
你会讲什么笑话呢,你会说什么话,0
别搭理我,喊你怎么不搭理我,0
帮我设一个四点半的闹钟,设置明天早上七点十分的闹钟,0
冰糖雪梨怎么做,鸡排怎么做,0
你的职业是什么,你的职责是什么,0
对你惹我生气了,对你惹我不开心了,1
你是什么材料做的,你是由什么材料构成的,1
能查询手机激活时间吗,查手机激活时间,1
我说的是你,我说的话就是,0
射手座有什么好处,六月二十日是什么星座,0
谁开发的你,我觉得你还能开发,0
行了你歇着吧,别把你累着了,0
屁是我放的,屁是我排出的,1
是不是好兄弟,你是我的好兄弟吗,0
我想换个笑话,笑话冷笑话,0
无限息屏怎么弄,黑屏了怎么办,0
算了不骂你了,我可以骂你不,0
你是不是想侵略地球,你想侵略地球是吗,1
难道你已经用过餐了吗,你还没吃饭呢,1
我不理你了,你都不理我了我还要想你干嘛,0
因为你怎么可能是人,因为你不是人,1
高价回收旧手机,我的个人热点密码是什么,0
我很好看,我好看的一塌糊涂,1
但是我现在想给你换个名字这个名字不好听,我不喜欢你的名字,0
给你讲故事,你好我给你说个故事吧,0
那我要不要给你充电呢,那我是不是给你充电呢,1
我可以怎么说,请告诉我怎么说,1
你快说谁最帅,说谁最帅,1
U707T的上市停产时间,k7发行时间,0
Reno2Z持利器,reno2z头像生成器,0
从来没见过你这么笨的人,你真的很没用,1
手机充满电量关机次日提示没电,新手机第一次充电有没有注意事项,0
r15x参数,r15x的内存参数,0
我吃过饭了,我吃好了,1
我的花开了,我的花呢,0
小布现在天气,未来七天的天气预报,0
欠我个未来,你欠我个未来吧,1
大家都喜欢,大家都很喜欢,1
早上好怎么说,说说看早上好应该怎么说,1
你猜我是不是迪丽热巴,你认为迪丽热巴好看吗,0
你会背乘法口诀吗,你会不会背乘法口诀吗,1
我想买这个帽子,我想买这个,0
头发掉了,头发掉了如何解决,0
再好好试试吧,哦再试试吧,1
我想跟你聊天,你想和我聊天吗,0
你说话听不见,听不见啊,0
会玩刺激吗,玩刺激行不行,1
谁叫你老,叫你什么好,0
觉得我好看吗,你觉得我是不是好看呀,1
那你本来就能可以过来,可以过来,1
小步小姑你在干嘛呢,那你在干嘛,0
请你让我再玩一会,我还想玩,1
今天开什么码,双色球开奖信息,0
你这么会撩人的吗是为嘛我说,我说你怎么这么会撩人,1
我要听话,我必须要听话,1
怎么使用语音解锁？,怎么使用语音助手实现语音解锁,1
好吧我原谅你,好的原谅你了,1
温柔是什么样你可以学学,你能温柔一点吗,0
那你抱抱我,我好想让你抱抱我呀,1
fhdm,jfgfhfgf,0
我很清醒,我为什么这么清醒,0
猜我是什么星座,天蝎座的幸运颜色,0
